Category: All categories

Month,blue green algae: (Los Angeles CA)
2016-01,12
2016-02,16
2016-03,0
2016-04,8
2016-05,15
2016-06,17
2016-07,22
2016-08,22
2016-09,14
2016-10,17
2016-11,0
2016-12,0
2017-01,11
2017-02,10
2017-03,11
2017-04,0
2017-05,17
2017-06,11
2017-07,20
2017-08,0
2017-09,9
2017-10,0
2017-11,0
2017-12,8
2018-01,0
2018-02,19
2018-03,13
2018-04,12
2018-05,0
2018-06,7
2018-07,13
2018-08,7
2018-09,12
2018-10,9
2018-11,0
2018-12,0
2019-01,0
2019-02,11
2019-03,8
2019-04,0
2019-05,0
2019-06,16
2019-07,15
2019-08,100
2019-09,20
2019-10,13
2019-11,0
2019-12,0
2020-01,0
2020-02,8
2020-03,9
2020-04,13
2020-05,10
2020-06,13
2020-07,9
2020-08,11
2020-09,16
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,8
2021-05,0
2021-06,9
2021-07,10
2021-08,8
2021-09,13
2021-10,11
2021-11,0
2021-12,0
2022-01,10
2022-02,0
2022-03,14
2022-04,6
2022-05,14
2022-06,9
2022-07,8
2022-08,10
2022-09,0
2022-10,13
2022-11,0
2022-12,9
2023-01,0
2023-02,19
2023-03,0
2023-04,0
2023-05,0
2023-06,8
2023-07,12
2023-08,0
2023-09,9
2023-10,14
2023-11,8
2023-12,0
2024-01,0
2024-02,9
2024-03,0
