Category: All categories

Month,blue green algae: (San Francisco-Oakland-San Jose CA)
2016-01,0
2016-02,21
2016-03,14
2016-04,0
2016-05,0
2016-06,11
2016-07,28
2016-08,37
2016-09,18
2016-10,0
2016-11,0
2016-12,11
2017-01,0
2017-02,0
2017-03,22
2017-04,0
2017-05,0
2017-06,14
2017-07,50
2017-08,24
2017-09,20
2017-10,12
2017-11,16
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,11
2018-05,20
2018-06,15
2018-07,29
2018-08,12
2018-09,0
2018-10,0
2018-11,12
2018-12,0
2019-01,11
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,11
2019-08,100
2019-09,40
2019-10,0
2019-11,10
2019-12,11
2020-01,0
2020-02,0
2020-03,12
2020-04,0
2020-05,17
2020-06,17
2020-07,9
2020-08,12
2020-09,15
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,11
2021-06,16
2021-07,19
2021-08,18
2021-09,15
2021-10,0
2021-11,12
2021-12,0
2022-01,0
2022-02,0
2022-03,0
2022-04,0
2022-05,17
2022-06,15
2022-07,31
2022-08,18
2022-09,14
2022-10,0
2022-11,15
2022-12,0
2023-01,0
2023-02,0
2023-03,0
2023-04,10
2023-05,10
2023-06,0
2023-07,25
2023-08,0
2023-09,0
2023-10,0
2023-11,0
2023-12,0
2024-01,0
2024-02,0
2024-03,0
