Category: All categories

Month,blue green algae: (Ohio)
2012-01,19
2012-02,0
2012-03,0
2012-04,0
2012-05,17
2012-06,0
2012-07,34
2012-08,17
2012-09,20
2012-10,0
2012-11,0
2012-12,21
2013-01,0
2013-02,23
2013-03,0
2013-04,0
2013-05,0
2013-06,15
2013-07,0
2013-08,0
2013-09,14
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,20
2014-08,44
2014-09,16
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,16
2015-06,17
2015-07,17
2015-08,29
2015-09,27
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,17
2016-04,0
2016-05,15
2016-06,12
2016-07,17
2016-08,0
2016-09,17
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,12
2017-06,14
2017-07,0
2017-08,0
2017-09,21
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,10
2018-03,8
2018-04,9
2018-05,0
2018-06,11
2018-07,11
2018-08,9
2018-09,10
2018-10,9
2018-11,0
2018-12,0
2019-01,0
2019-02,17
2019-03,0
2019-04,0
2019-05,16
2019-06,12
2019-07,18
2019-08,100
2019-09,19
2019-10,15
2019-11,12
2019-12,9
2020-01,9
2020-02,0
2020-03,0
2020-04,0
2020-05,8
2020-06,8
2020-07,17
2020-08,9
2020-09,11
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,13
2021-07,10
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
2022-01,0
2022-02,0
2022-03,0
2022-04,11
2022-05,0
2022-06,10
2022-07,20
2022-08,15
2022-09,0
2022-10,0
2022-11,0
2022-12,7
2023-01,0
2023-02,0
2023-03,0
2023-04,13
2023-05,9
2023-06,14
2023-07,16
2023-08,11
2023-09,0
2023-10,0
2023-11,0
2023-12,0
2024-01,0
2024-02,0
2024-03,0
